"id"|"title"|"body"|"category"|"tags"|"date"|"image"
"389911"|"Trumpov predsjednički govor: Danas vlast male grupe iz Washingtona predajemo američkom narodu"|"Donald Trump obratio se naciji prvi put nakon što je preuzeo dužnost 45. predsjednika SAD-a. Naciji je poručio da će SAD od danas okrenuti novi list i biti nezaustavljiva.Trump je kazao kako građani Amerika danas učestvuju u naporima da ponovo izgrade svoju zemlju, te da će zajedno sa građanima odrediti smjer u kojem će Amerika i svijet u narednim godinama.""Suočavat ćemo se izazovima i teškoćama, ali obavit ćemo taj posao . Današnja ceremonija ima posebno značenje jer danas ne samo da prenosimo vlast s jedne na drugu stranku ili s jedne na drugu administraciju, danas prenosimo vlast iz Washingotna na vas - narod SAD-a. Predugo je malena grupa u našem gradu ubirala beneficije dok je narod trpio. To su činili na vašu štetu. Washington je cvjetao, ali narod nije učestvovao u tome. Političari su se bogatili, ali su se fabrike zatvarale. Establishment sam sebe štiti, ali ne i građane naše zemlje"", rekao je Trump.Kazao je kako se sve to mijenja od ovog dana i da je ovo dan svih Amerikanaca, te da će 20. januar 2017. godine biti upamćen kao dana kada su građani ponovo postali vladari SAD-a.""Zaboravljeni muškarci i žene naše zemlje više neće biti zaboravljeni. Amerikanci žele dobre škole za svoju djecu, sigurne četvrti i dobra radna mjesta. Top su razumni zahtjevi, ali većina naša građana živi u drugačijoj stvarnosti - siromašne majke i djeca, oronule fabrike i obrazovni sistem u kojem ima novca ali našim mladima uskraćuje znanje. Tu su i zločini, bande, narkotici koji su toliko toga oduzeli našoj zemlji. Ovo američko krvoproliće prestaje sada"", poručio je Trump.Istakao je kako dužnost koju preuzima znači vjernost svim Amerikancima, te da ih neće iznevjeriti nikada.Izvor: klix.ba"|"SVIJET"|"donald trump, predsjednik trump, inauguracija"|"2017-01-20 18:31:48"|"https://www.cazin.net/wp-content/uploads/2017/01/2017-01-20_183230.jpg"
"389917"|"Melania Trump obučena poput bivše prve dame Jackie Kennedy"|"Nova prva dama SAD-a Melania Trump zablistala je danas u svijetlo plavoj haljini i jakni koju je obukla za inauguraciju muža Donalda Trumpa.Mediji su kazali da kako je ovim Melania pokazala da će biti modno osviještena i uvijek korak unaprijed kada je u pitanju odijevanje prve dame. Na rukama ima elegantne rukavice dužine do lakta.Frizura joj je lepršava i jednostavna, te od nakita nosi samo dijamantne minđuše.Zbog ovog outfita, američki mediji su odmah napisali kako Melania podsjeća na Jacquelineu Kennedy koja je imala sličan imidž kada je John Kennedy 1961. godine polagao zakletvu.<img src=""https://www.cazin.net/images/uploads/2016/09/2017-01-20_183652.jpg"" alt="""" />Za ovaj veliki dan Melania se obratila omiljenom modnom dizajneru Hillary Clinton - Ralphu Laurenu.Veliki broj dizajnera kazao je kako više neće oblačiti Melaniu nakon što joj suprug postane predsjednik. među njima je i francuska dizajnerica Sophie Theallet koja je poručila da se bori protiv bilo kakve vrste diskriminacije i predrasuda, te da zbog toga neće raditi s novom prvom damom.Dizajner Tom Ford također je rekao kako Melania neće nositi njegovu odjeću jer mu je ""odjeća preskupa za prvu damu"". Podsjetimo, njegovu odjeću nosila je dosadašnja prva dama Michelle Obama.klix.ba"|"LIFESTYLE"|"melania trump, inauguracija, donald trump"|"2017-01-20 18:36:08"|"https://www.cazin.net/wp-content/uploads/2017/01/2017-01-20_183552.jpg"
"389174"|"Najveće okupljanje bh. dijaspore i ove godine u Lausenu: Sredstva namijenjena za stambeno zbrinjavanje Hase Majetića"|"<strong>Cazinjani okupljeni u Klubu „Behar“ Sissach u Švicarskoj u saradnji s Udruženjem „Srce Cazina“ i ove godine organiziraju tradicionalni humanitarni koncert u Lausenu. </strong>Koncert će se održati 4. februara ove godine u Merzhalle s početkom u 19 sati.Tradicija okupljanja Krajišnika i Bosanaca i Hercegovaca u Švicarskoj traje više od 15 godina, a ovo je deseti jubilarni koncert u organizaciji Udruženja „Srce Cazina“.- <em>„I ovoga puta očekujemo veliki broj naših zemljaka na jednom mjestu jer ovo je zaista jedinstven događaj i prilika za druženje kojoj se svi radujemo“</em>, kaže glavni organizator i dugogodišnji aktivni član Kluba „Behar“ Senad Puškar.Po njegovim riječima, uz koncert će se održati i tradicionalni malonogometni turnir za koji je iz godine u godinu sve veće interesovanje, a na samom koncertu će nastupiti provjereni prijatelji projekta: Elvira Rahić, Enes Begović i Fazlija. Medijski pokrovitelji su RTV Cazin i web portali Cazin.NET i Bosanci.ch.-<em> „Prihod sa ovogodišnjeg koncerta namijenjen je za izgradnju kuće Hasi Majetiću, nepokretnom momku o kojem jedinu brigu vodi stric, a čija kuća je potpuno neuslovna trenutno. S ovom teškom pričom su svi upoznati i vjerujemo da ćemo zajedno 4. februara prikupiti značajan dio sredstava za rješavanje ovog problema“,</em> kaže Puškar.<h3><a href=""https://www.cazin.net/clanci/vijest/zivotna-prica-iz-cazina-koja-ce-vas-dirnuti-u-srce-pocinje-akcija-za-stambeno-zbrinjavanje-bolesnog-hase-majetica"" data-cke-saved-href=""https://www.cazin.net/clanci/vijest/zivotna-prica-iz-cazina-koja-ce-vas-dirnuti-u-srce-pocinje-akcija-za-stambeno-zbrinjavanje-bolesnog-hase-majetica"">ŽIVOTNA PRIČA IZ CAZINA KOJA ĆE VAS DIRNUTI U SRCE: Počinje akcija za stambeno zbrinjavanje bolesnog Hase Majetića</a></h3>Jedinstveno druženje na kojem se okupe sve generacije i veliki broj naših građana iz svih dijelova Švicarske, pa i susjedne Austrije i Njemačke, po mnogim je procjenama najveće okupljanje bh. građana u dijaspori s najdužom tradicijom.<em>(Cazin.NET)</em>"|"CAZIN, SPECIJAL"|"cazin, klub behar, humanitarni koncert, hase majetić, srce cazina"|"2017-01-18 17:59:17"|"https://www.cazin.net/wp-content/uploads/2017/01/25-behar_s.jpg"
"389656"|"(FOTO) Završena realizacija projekta 3D printer za MSŠ “Safet Krupić”"|"<strong>JU Mješovita srednja škola „Safet Krupić“ Bosanska Krupa je realizovala još jedan projekat nabavke 3D printera, a partner je „Merhamet"" Njemačke iz Bona.</strong>Direktor „Merhameta“ Jusuf Skenderović je izjavio da mu je drago da se jedna škola pojavi sa projektom za 3D printer koji je bitan faktor opreme za učenike u sticanju vještina i znanja za određena zanimanja koja se školuju u JU MSŠ “Safet Krupić“ Bosanska Krupa.Na osnovu urađenog projekta učenika i profesora Hikmeta Todorovca JU MSŠ “Safet Krupić” je bogatija za 3D printer.<img src=""https://www.cazin.net/images/uploads/2016/09/3d.jpg"" alt="""" /><img src=""https://www.cazin.net/images/uploads/2016/09/3d_printer.jpg"" alt="""" /><em>(Izvor: Krupljani.ba)</em>"|"USK"|"msš safet krupić, bosanska krupa, usk, 3D printer, realizacija projekta"|"2017-01-20 10:24:55"|"https://www.cazin.net/wp-content/uploads/2017/01/3D-printer-Bosanska-Krupa.jpg"
"389899"|"Predsjednička inauguracija zaštitni znak američke demokratije više od 200 godina"|"Ambasadorica SAD-a u BiH Maureen Cormack i uposlenici Ambasade pridružili su se Amerikancima širom svijeta koji su svjedočili historijskom činu inauguracije predsjednika Donalda Trumpa ispred Capitol Hilla danas poslijepodne.Ovaj događaj je dio bogate tradicije i predstavlja proces mirnog prenosa vlasti koji je zaštitni znak američke demokratije već više od 200 godina.- Nakon vikenda tokom kojeg će se u Washingtonu održavati proslave u čast inauguracije 45. predsjednika Sjedinjenih Američkih Država, u ponedeljak se vraćamo na posao da bi nastavili raditi na provođenju američke spoljne politike. Ambasadorica Cormack se raduje radu sa novom administracijom na poštivanju  dugogodišnjeg dvostranačkog opredjeljenja za mir i stabilnost u Bosni i Hecegovini - kazali su u Uredu za odnose s javnošću Ambasade SAD-a u BiH.Autor: (Fena)"|"SVIJET"|"donald trump, tradicija, inauguracija"|"2017-01-20 18:27:16"|"https://www.cazin.net/wp-content/uploads/2017/01/5882472f-40f8-4430-b201-34480a0a0a64-maureen-cormack03-718x446.jpg"
"389535"|"CAZIN.NET I CINESTAR BIHAĆ NAGRAĐUJU: Osvojite ulaznice za film Sedam minuta nakon ponoći"|"<p style=""text-align: justify;""><strong>Portal Cazin.NET i CineStar Bihać i ovog kino tjedna samo za Vas organiziraju nagradnu igru u kojoj možete osvojiti 3x2 ulaznice za neki od filmova koji trenutno igraju u kinu. Ovaj put nagrađujemo Vas ulaznicama za film <u><em>Sedam minuta nakon ponoći</em></u>.</strong></p><h2 style=""text-align: justify;"">Kako osvojiti ulaznice?</h2><p style=""text-align: justify;"">Kako bi osvojili ulaznice potrebno je da u komentar ispod ovog članka na portalu napišete ""CAZIN.NET I CINESTAR BIHAĆ ME VODE U KINO"", te podijelite vijest na svom FB profilu (opcija public). Ulaznice osvajaju tri najsretnija čitatelja, koje će slučajnim odabirom izabrati redakcija našeg portala.</p><h2 style=""text-align: justify;"">Sadržaj filma</h2><p style=""text-align: justify;"">U filmu pratimo dvanaestogodišnjeg Conora (Lewis MacDougall) koji se pokušava pomiriti sa bolešću svoje majke (Felicity Jones) i nasilnicima iz škole tako što bježi u fantastičan svijet prepun čudovišta. Čudovište se pojavljuje nakon ponoći. Ali to nije bilo čudovište koje je Conor očekivao. Očekivao je čudovište iz noćne more koja ga je proganjala skoro svaku noć otkako je njegova majka počela primati terapiju, noćne more u kojoj se pojavljuju tama, vjetar i vrištanje… Ovo čudovište je drugačije, i traži od Conora ono najopasnije – traži istinu.</p><h2 style=""text-align: justify;"">Zašto morate pogledati ovaj film?</h2><p style=""text-align: justify;"">Hvaljeni autor filmova Sirotište i Nemoguće donosi nevjerojatno dirljivu priču u svojem novom filmu s Liamom Neesonom, Felicity Jones i Sigourney Weaver u glavnim ulogama, nastalu prema nagrađivanoj knjizi Patricka Nessa.</p><h2 style=""text-align: justify;"">Važna napomena</h2><p style=""text-align: justify;"">Osvojene kinoulaznice dobitnici mogu iskoristiti isključivo od ponedjeljka do četvrtka zaključno s datumom 25.1.2017.</p><p style=""text-align: justify;""><iframe src=""https://www.youtube.com/embed/GpQEHuhvf_o"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p><em>(Cazin.NET)</em>"|"CAZIN"|"cazin.net, cazin, nagradna igra, cinestar"|"2017-01-10 17:55:18"|"https://www.cazin.net/wp-content/uploads/2017/01/7_minuta_nakon_ponoci.jpg"
"389328"|"CAZIN.NET I CINESTAR BIHAĆ NAGRAĐUJU: Dobitnici ulaznica za film Sedam minuta nakon ponoći"|"<p style=""text-align: justify;""><strong>Portal Cazin.NET i CineStar Bihać i ovog kino tjedna organizirali su nagradnu igru u kojoj ste mogli osvojiti 3x2 ulaznice za film Sedam minuta nakon ponoći.</strong></p><p style=""text-align: justify;"">Kako bi osvojili ulaznice, bilo je potrebno da u komentar ispod ovog članka na portalu napišete ""CAZIN.NET I CINESTAR BIHAĆ ME VODE U KINO"", te podijelite vijest na svom FB profilu (opcija public). Ulaznice osvajaju tri najsretnija čitatelja, koje slučajnim odabirom bira redakcija našeg Portala.</p><p style=""text-align: justify;""><strong>Dobitnici ulaznica (3x2) za ovaj kino tjedan su:</strong></p><ol> 	<li style=""text-align: justify;"">Lejla Miljković Čataković,</li> 	<li style=""text-align: justify;"">Aladin Hasanagić i</li> 	<li style=""text-align: justify;"">Anesa Tahirović.</li></ol><p style=""text-align: justify;"">Čestitamo sretnim dobitnicima, a svoje ulaznice mogu preuzeti u CineStar Bihać uz ličnu kartu na dan kad se odluče gledati film, a osvojene kinoulaznice se mogu iskoristiti isključivo od ponedjeljka do četvrtka zaključno s datumom 25.1.</p><iframe src=""https://www.youtube.com/embed/GpQEHuhvf_o"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe><em>(Cazin.NET)</em>"|"CAZIN"|"nagradna igra, cinestar, cazin.net, cazin"|"2017-01-15 12:06:11"|"https://www.cazin.net/wp-content/uploads/2017/01/7_minuta_nakon_ponoci1.jpg"
"389565"|"Azra Kovačević: Jednoj majci Srebrenice danas nije bilo lako disati..."|"<p style=""text-align: justify;""><em>""Sasvim običan dan za Bosnu i Hercegovinu..."" </em></p>""Trebate ostati kod kuće i posvetiti se porodicama..."""" Nema mjesta za brigu i paniku, imate druge probleme o kojima se trebati brinuti...""<strong>       Piše: Azra Kovačević</strong><p style=""text-align: justify;"">Kako da ne. Od jutra čitam na portalima razne savjete, komentare povodom današnjeg dana i pitam se da li oni zbilja misle da je današnje jutro sasvim obično, svakidašnje?  Ne, nije, i svi mi to znamo. Sve jeste, osim toga da je danas običnom stanovniku Bosne bilo lako se probuditi, progutati zrak, pritom i ponos i krenuti dalje. Zar nas stvarno nije briga, ne znamo li ili ne želimo li znati?  Zar smo toliki stranci da nas rušenje naših prava, doticanje naše zemlje za koju su naši preci dali život, ne zanima? Ne zavaravajte se, nije tako. Mi nismo zaboravili ni dvadeset godina poslije. A vi samo tražite mir u državi.... Ko se ovdje šali na naš račun? Jer da vam odmah kažem, niste smiješni, ne izigravajte klaune.</p>Jednoj majci Srebrenice danas nije bilo lako disati, i svako slijedeće jutro neće biti isto kao što ni do sad nije bilo. Vi mislite... ali žar se ni poslije 20 godina nije ugasio.<strong> Srebrenica je bila i ostat će srce Bosne. A Bosna naše srce. </strong>Znate šta je najzanimljivije od svega ovog? To što brojke još rastu; zemlja još miriše na krv; još niste potpuno prihvatili termin ""genocid"" iako imamo čvrste dokaze; to što ne prihvaćate 11.07., niti 25.11.; Vi sad tražite svoje pravo i svoj dan? Vi isti koji ste oduzeli mnoga prava prije dvadeset godina. I da vam odmah kažem: nije nama bitan 11.07. zato što je nama Srebrenica SVAKI DAN! I nije nam bitan jedan dan u godini kada mi živimo ovdje svaki dan zahvaljujući onima koji su se izborili za to pravo. Nama je bitno to što vi uporno mislite da u ovoj državi će se nešto tako olako zaboraviti, i to što uporno tražite ""mir"" na najgori mogući način. I to što traženjem svoga dana i prava da ga obilježite, opet načinjete stare rane, kopate sve dublje i pljujete po našim obrazima dok još iz zemlje vadimo tragove nestalih. Treba još za kraj da vam očistimo cipele? Ili da vam poželimo dobar dan? Ustvari, dobar vam dan, Republiko Srbijo, samo danas. Bez obzira na odluku koja će biti donešena, slavite danas, svaki drugi dan je zapravo naš.<strong>Dobar dan, Bosno, svaki dan. Ti si prkosna, a tvoji ljudi ponosni, postojala si i postojat ćeš.</strong><p style=""text-align: justify;"">I da, hajde da sve ove riječi koje su istina, negirate i pripišete mojoj mladosti. Pa da nam opet bacite prašinu u oči i prodate maglu za istinu.</p><em>(Cazin.NET)</em>"|"KOLUMNE"|"cazin, cazinjanka, 9. januar, genocid, srebrenica, azra kovačević"|"2017-01-09 22:05:10"|"https://www.cazin.net/wp-content/uploads/2017/01/9_januar-genocid.jpg"
"389582"|"Admir Muhić: 9. januar - dan kada se slavi smrt"|"<p style=""text-align: justify;""><em>Deveti januar</em><em>Devedeset i druge.</em><em>Bio sam dijete</em><em>I gledao te dane dječačkim očima,</em><em>Onim nevinim, iskrenim, svjetlucavim.</em><em>Zar da netko tada ubije dijete</em><em>Nevino, iskreno, svjetlucavo?</em><em>To je bio početak ubijanja djece</em><em>Nevine, iskrene, svjetlucave.</em></p><em>Moj prijatelj nije bio dijete.</em><em>Odrastao čovjek bosanski,</em><em>Uspravan, golem, ćotija.</em><em>I ja sada kao čovjek bosanski</em><em>Izvan Bosne,</em><em>Uspravan, golem, ćotija</em><em>Gledam njegove oči,</em><em>Te velike, iskrene oči,</em><em>Oči koje uzalud traže smisao</em><em>U besmislu propasti,</em><em>U ludosti,</em><em>U sveopćoj gluposti.</em><em>Koje traže filozofsko</em><em>Objašnjenje za banalno zlo.</em><em>Koje uzalud traže da im netko</em><em>Nadoknadi sve te godine</em><em>Koje su uništili fašisti.</em><em>Koje uzalud traže kaznu za zločine,</em><em>Koja bi bila kakva takva,</em><em>A u stvari itekakva satisfakcija</em><em>Za uništene i umrle živote.</em><em>I gledam te oči.</em><em>Ostarile oči.</em><em>Te oči su od</em><em>Tog devetog januara</em><em>Od te devedeset i druge</em><em>Svojim očima gledale kako</em><em>Nemilosrdno vade dječije oči</em><em>Pred očima svijeta</em><em>Za nekakve oči bosanskog entiteta,</em><em>Za oči koje mi danas ne smiju na oči.</em><em>Eeeee, moj svijete</em><em>Jalovi, surovi, nemoćni!!!</em><em>Zašto se smrt slavi devetog januara?</em><em>Republika Srpska?</em><em>Je li?</em><em>Što je ona u mojim očima?</em><em>Prva asocijacija koju u meni budi</em><em>Republika Rrpska je smrt.</em><em>Genocidna smrt.</em><em>Genocidna tvorevina haških uznika.</em><em>Mislim da je to zapravo</em><em>I jedina asocijacija</em><em>Na to besmisleno i genocidno ime.</em><em>Pa se onda pitam</em><em>Kakvi su to ljudi koji slave smrt?</em><em>Slave deveti januar,</em><em>Dan kada su ubili nevine,</em><em>Iskrene i svjetlucave oči.</em><em>I sve se nadam da nisu baš svi takvi,</em><em>Da se neki, ipak,</em><em>I stide zbog ovog slavlja.</em><em>Pred Bogom ili pred ljudima,</em><em>Nije ni važno,</em><em>Samo nek' ima nekih koji se toga stide.</em><em>To je dan kada se slavi smrt.</em><em>Svi u svijetu slave život,</em><em>A ovi slave smrt.</em><em>Ja ne želim slaviti smrt.</em><em>Je l' me itko čuje?</em><em>Ne želim.</em><em>I nakon dvadeset i pet godina</em><em>Opet mi vade oči,</em><em>One nevine, iskrene,</em><em>Svjetlucave, dječačke oči.</em><em>Moje, tvoje i njegove oči.</em><em>(Dokada?)</em>(Admir Muhić)"|"KOLUMNE"|"admir muhić, pjesma, smrt, dan rs-a, 9. januar"|"2017-01-08 22:06:26"|"https://www.cazin.net/wp-content/uploads/2017/01/9-januar.jpg"
